idindicador,nomindicador,idunidad,nomunidad,iddepto,nomdepto,deplatitud,deplongitud,fecha,fuente,dato
2,Mediana de la duración de la lactancia materna total ,5,Meses,88, Archipiélago de San Andrés - Providencia y Santa Catalina,12.5847222,-81.7005556,2010,ENSIN,
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),88, Archipiélago de San Andrés - Providencia y Santa Catalina,12.5847222,-81.7005556,2010,ENSIN,36.2
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,91,Amazonas,-1.0197222,-71.9383333,2010,ENSIN,5.5
2,Mediana de la duración de la lactancia materna total ,5,Meses,91,Amazonas,-1.0197222,-71.9383333,2010,ENSIN,21.6
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),91,Amazonas,-1.0197222,-71.9383333,2010,ENSIN,39
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,5,Antioquia,7,-75.5,2010,ENSIN,0.6
2,Mediana de la duración de la lactancia materna total ,5,Meses,5,Antioquia,7,-75.5,2010,ENSIN,12.4
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),5,Antioquia,7,-75.5,2010,ENSIN,50.8
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,81,Arauca,7.0902778,-70.7616667,2010,ENSIN,2.6
2,Mediana de la duración de la lactancia materna total ,5,Meses,81,Arauca,7.0902778,-70.7616667,2010,ENSIN,16.8
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),81,Arauca,7.0902778,-70.7616667,2010,ENSIN,34.8
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,8,Atlántico,10.75,-75,2010,ENSIN,0.5
2,Mediana de la duración de la lactancia materna total ,5,Meses,8,Atlántico,10.75,-75,2010,ENSIN,10
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),8,Atlántico,10.75,-75,2010,ENSIN,57.3
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,13,Bolívar,9,-74.3333333,2010,ENSIN,1.3
2,Mediana de la duración de la lactancia materna total ,5,Meses,13,Bolívar,9,-74.3333333,2010,ENSIN,12.8
